ID,site,cultivar,sample
CCCHF1,CHFC,CH,CHFC_CH
CCCHF2,CHFC,CH,CHFC_CH
CCCHF5,CHFC,CH,CHFC_CH
CCCSF1,CHFC,CS,CHFC_CS
CCCSF2,CHFC,CS,CHFC_CS
CCCSF5,CHFC,CS,CHFC_CS
CCMEF1,CHFC,ME,CHFC_ME
CCMEF2,CHFC,ME,CHFC_ME
CCMEF5,CHFC,ME,CHFC_ME
HDCHF2,HD,CH,HD_CH
HDCHF3,HD,CH,HD_CH
HDCHF5,HD,CH,HD_CH
HDCSF2,HD,CS,HD_CS
HDCSF4,HD,CS,HD_CS
HDCSF5,HD,CS,HD_CS
HDMEF2,HD,ME,HD_ME
HDMEF3,HD,ME,HD_ME
HDMEF5,HD,ME,HD_ME
HSPCHF2,HSP,CH,HSP_CH
HSPCHF3,HSP,CH,HSP_CH
HSPCHF5,HSP,CH,HSP_CH
HSPCSF1,HSP,CS,HSP_CS
HSPCSF2,HSP,CS,HSP_CS
HSPCSF4,HSP,CS,HSP_CS
HSPMEF3,HSP,ME,HSP_ME
HSPMEF4,HSP,ME,HSP_ME
HSPMEF5,HSP,ME,HSP_ME
SSBCHF3,SSB,CH,SSB_CH
SSBCHF4,SSB,CH,SSB_CH
SSBCHF5,SSB,CH,SSB_CH
SSBCSF1,SSB,CS,SSB_CS
SSBCSF3,SSB,CS,SSB_CS
SSBCSF4,SSB,CS,SSB_CS
SSBMEF2,SSB,ME,SSB_ME
SSBMEF3,SSB,ME,SSB_ME
SSBMEF4,SSB,ME,SSB_ME
XGCHF1,XG,CH,XG_CH
XGCHF2,XG,CH,XG_CH
XGCHF5,XG,CH,XG_CH
XGCSF1,XG,CS,XG_CS
XGCSF2,XG,CS,XG_CS
XGCSF4,XG,CS,XG_CS
XGMEF2,XG,ME,XG_ME
XGMEF3,XG,ME,XG_ME
XGMEF5,XG,ME,XG_ME
YSCHF2,YSGD,CH,YSGD_CH
YSCHF3,YSGD,CH,YSGD_CH
YSCHF5,YSGD,CH,YSGD_CH
YSCSF2,YSGD,CS,YSGD_CS
YSCSF3,YSGD,CS,YSGD_CS
YSCSF5,YSGD,CS,YSGD_CS
YSMEF1,YSGD,ME,YSGD_ME
YSMEF2,YSGD,ME,YSGD_ME
YSMEF4,YSGD,ME,YSGD_ME
